0,0,1
50,-30.96,1.09
91.1,-61.00056,1.14
124,-91.0656,1.10
157,-120.9528,0.92
200,-151.2,0.59
281,-180.0648,0.25
560,-209.664,0.04
890,-239.6592,0.01
